iter	Passed	Remaining
0	202	202254
1	221	110764
2	239	79740
3	257	64108
4	275	54819
5	293	48592
6	311	44223
7	330	41030
8	347	38221
9	363	36035
10	386	34752
11	413	34038
12	439	33332
13	461	32470
14	480	31527
15	498	30673
16	518	29974
17	536	29292
18	554	28630
19	573	28079
20	593	27669
21	613	27286
22	634	26953
23	655	26643
24	674	26324
25	696	26089
26	714	25738
27	735	25543
28	755	25290
29	773	25004
30	796	24889
31	817	24721
32	835	24494
33	858	24388
34	880	24285
35	900	24116
36	921	23993
37	942	23854
38	962	23723
39	982	23578
40	1004	23484
41	1034	23591
42	1064	23696
43	1098	23875
44	1127	23925
45	1156	23978
46	1178	23895
47	1203	23866
48	1223	23737
49	1244	23638
50	1267	23593
51	1292	23564
52	1313	23465
53	1333	23369
54	1354	23267
55	1375	23189
56	1400	23169
57	1419	23054
58	1437	22919
59	1455	22802
60	1470	22638
61	1487	22498
62	1503	22367
63	1521	22245
64	1538	22129
65	1556	22023
66	1573	21908
67	1590	21804
68	1611	21749
69	1629	21655
70	1647	21553
71	1665	21462
72	1684	21387
73	1706	21348
74	1721	21234
75	1738	21130
76	1753	21021
77	1770	20922
78	1786	20826
79	1807	20788
80	1826	20718
81	1847	20678
82	1868	20646
83	1889	20609
84	1907	20538
85	1927	20481
86	1944	20411
87	1964	20362
88	1985	20321
89	2002	20248
90	2019	20174
91	2038	20121
92	2058	20077
93	2077	20022
94	2095	19960
95	2114	19911
96	2140	19926
97	2169	19969
98	2195	19979
99	2220	19985
100	2246	19992
101	2267	19966
102	2290	19947
103	2311	19918
104	2335	19905
105	2357	19885
106	2381	19871
107	2402	19844
108	2422	19799
109	2444	19774
110	2463	19727
111	2483	19691
112	2504	19662
113	2524	19619
114	2543	19573
115	2561	19521
116	2582	19491
117	2604	19470
118	2624	19431
119	2644	19389
120	2665	19363
121	2687	19337
122	2707	19308
123	2728	19277
124	2749	19244
125	2771	19226
126	2792	19195
127	2811	19153
128	2830	19113
129	2849	19068
130	2870	19040
131	2889	19002
132	2910	18971
133	2930	18941
134	2949	18899
135	2970	18871
136	2992	18851
137	3014	18829
138	3034	18794
139	3055	18771
140	3075	18738
141	3095	18705
142	3114	18667
143	3133	18628
144	3154	18599
145	3176	18579
146	3199	18563
147	3218	18530
148	3238	18496
149	3259	18468
150	3280	18444
151	3299	18408
152	3320	18383
153	3339	18347
154	3358	18306
155	3380	18289
156	3400	18260
157	3420	18230
158	3438	18186
159	3454	18137
160	3471	18088
161	3489	18049
162	3506	18005
163	3522	17956
164	3539	17910
165	3558	17876
166	3586	17890
167	3613	17896
168	3635	17876
169	3658	17861
170	3680	17845
171	3702	17821
172	3725	17810
173	3745	17780
174	3766	17757
175	3787	17732
176	3807	17705
177	3829	17684
178	3852	17670
179	3875	17656
180	3898	17640
181	3928	17654
182	3949	17634
183	3972	17617
184	3994	17595
185	4015	17573
186	4041	17568
187	4063	17550
188	4088	17544
189	4113	17535
190	4135	17516
191	4156	17493
192	4175	17459
193	4193	17424
194	4211	17387
195	4229	17350
196	4247	17312
197	4264	17274
198	4282	17236
199	4302	17208
200	4319	17170
201	4337	17133
202	4353	17092
203	4371	17058
204	4388	17020
205	4405	16981
206	4420	16935
207	4437	16896
208	4451	16846
209	4465	16798
210	4479	16751
211	4494	16704
212	4507	16655
213	4521	16606
214	4534	16557
215	4549	16513
216	4563	16466
217	4580	16429
218	4598	16398
219	4614	16360
220	4631	16324
221	4648	16291
222	4668	16265
223	4685	16230
224	4705	16206
225	4724	16180
226	4740	16141
227	4754	16098
228	4769	16057
229	4785	16019
230	4802	15987
231	4816	15945
232	4831	15904
233	4848	15870
234	4862	15830
235	4877	15789
236	4891	15749
237	4907	15711
238	4922	15672
239	4937	15633
240	4951	15595
241	4966	15554
242	4980	15514
243	4995	15477
244	5011	15442
245	5026	15405
246	5041	15370
247	5056	15332
248	5071	15297
249	5087	15261
250	5103	15229
251	5121	15202
252	5136	15166
253	5152	15131
254	5167	15095
255	5183	15064
256	5199	15033
257	5216	15001
258	5231	14968
259	5247	14936
260	5264	14905
261	5279	14872
262	5295	14839
263	5310	14804
264	5325	14770
265	5341	14740
266	5359	14713
267	5374	14679
268	5389	14645
269	5404	14610
270	5424	14593
271	5446	14578
272	5468	14561
273	5490	14546
274	5516	14543
275	5547	14552
276	5572	14545
277	5597	14536
278	5619	14522
279	5643	14511
280	5666	14497
281	5692	14492
282	5716	14483
283	5742	14476
284	5762	14457
285	5782	14436
286	5805	14421
287	5825	14401
288	5845	14380
289	5867	14364
290	5888	14346
291	5908	14325
292	5929	14307
293	5949	14286
294	5970	14268
295	5995	14258
296	6033	14280
297	6057	14270
298	6084	14264
299	6106	14249
300	6133	14244
301	6156	14228
302	6182	14222
303	6217	14235
304	6251	14244
305	6276	14234
306	6303	14228
307	6329	14220
308	6355	14212
309	6380	14202
310	6409	14199
311	6439	14199
312	6466	14192
313	6488	14176
314	6511	14160
315	6535	14147
316	6557	14128
317	6578	14108
318	6599	14088
319	6620	14068
320	6648	14063
321	6673	14051
322	6696	14035
323	6720	14021
324	6742	14002
325	6772	14001
326	6813	14022
327	6872	14081
328	6910	14095
329	6960	14132
330	7006	14160
331	7040	14165
332	7076	14174
333	7104	14166
334	7150	14193
335	7177	14183
336	7203	14171
337	7227	14156
338	7254	14146
339	7280	14132
340	7306	14120
341	7332	14107
342	7363	14104
343	7389	14092
344	7422	14092
345	7485	14148
346	7539	14188
347	7581	14205
348	7636	14244
349	7667	14239
350	7697	14232
351	7723	14218
352	7748	14202
353	7774	14187
354	7798	14168
355	7824	14153
356	7844	14128
357	7865	14105
358	7887	14082
359	7916	14073
360	7934	14043
361	7952	14015
362	7972	13989
363	7998	13974
364	8030	13970
365	8052	13948
366	8072	13922
367	8092	13898
368	8113	13874
369	8136	13854
370	8162	13838
371	8186	13820
372	8208	13798
373	8233	13781
374	8257	13762
375	8280	13741
376	8301	13718
377	8322	13695
378	8345	13673
379	8366	13650
380	8385	13624
381	8406	13600
382	8432	13584
383	8452	13559
384	8473	13536
385	8497	13517
386	8519	13494
387	8541	13472
388	8563	13449
389	8584	13427
390	8613	13415
391	8638	13398
392	8664	13383
393	8687	13361
394	8711	13342
395	8748	13344
396	8786	13345
397	8834	13362
398	8883	13381
399	8919	13378
400	8951	13372
401	8986	13367
402	9021	13363
403	9052	13354
404	9086	13349
405	9118	13341
406	9146	13326
407	9175	13313
408	9201	13296
409	9231	13283
410	9260	13270
411	9289	13257
412	9323	13251
